#seq;rnd_rate;wrt_rate;io_size;sys_cpu;usr_cpu;cpu_ctx;cpu_minf;cpu_majf;r_io_bytes;r_bw;r_bw_min;r_bw_max;r_bw_mean;r_bw_dev;r_iops;r_runtime;r_min_lat;r_max_lat;r_mean_lat;r_stddev_lat;w_io_bytes;w_bw;w_bw_min;w_bw_max;w_bw_mean;w_bw_dev;w_iops;w_runtime;w_min_lat;w_max_lat;w_mean_lat;w_stddev_lat
3;0;20;1024;0.64;0.21;203;6;0;166912;44297;5626;95492;48185.5;38416.88;43;3768;7489;395217;22154.41;50605.47;37888;10055;5389;26624;13724.2;8169.37;9;3768;2466;7753;4174.0;1133.43
4;0;20;1024;0.65;0.0;202;6;0;166912;33801;754;81756;34006.43;34700.58;33;4938;7461;1349976;29318.69;115780.64;37888;7672;2262;28614;11015.4;11332.96;7;4938;2557;7590;4248.11;1161.5
1;0;40;2;2.69;0.72;102425;7;0;122608;1755;910;3121;1758.77;406.95;877;69862;40;195896;857.2;5142.35;82192;1176;660;2152;1178.39;257.12;588;69862;70;121638;413.01;2339.2
2;0;40;2;2.52;0.77;102423;7;0;122608;1702;572;3772;1702.95;374.15;851;72034;46;186272;899.65;5231.72;82192;1141;421;2542;1141.77;246.87;570;72034;89;105940;402.45;2159.43
3;0;40;2;2.58;0.78;102426;7;0;122608;1726;710;3232;1729.41;430.32;863;71031;36;176756;884.64;5295.77;82192;1157;472;2083;1159.19;271.12;578;71031;84;167229;400.46;2286.57
4;0;40;2;2.72;0.69;102426;7;0;122608;1732;656;3464;1733.93;428.56;866;70754;47;251885;877.27;5296.7;82192;1161;476;2300;1162.27;276.01;580;70754;89;167365;404.81;2427.89
1;0;40;4;0.48;0.15;51273;7;0;122888;358;70;5152;357.92;855.04;89;343198;51;204638;10760.47;15039.59;81912;238;8;3320;238.96;576.78;59;343198;109;202233;603.16;5086.68
2;0;40;4;0.48;0.14;51270;7;0;122888;356;64;5248;357.57;830.81;89;344495;51;207784;10810.13;15142.36;81912;237;8;3496;238.32;560.85;59;344495;93;152414;591.94;4786.08
3;0;40;4;0.52;0.12;51273;7;0;122888;357;61;4912;357.62;841.31;89;343467;50;191628;10831.64;15212.24;81912;238;7;3384;238.26;567.69;59;343467;113;149823;509.45;3698.48
4;0;40;4;0.49;0.14;51276;7;0;122888;359;69;5622;363.05;850.98;89;342087;48;408296;10747.06;15161.9;81912;239;15;3755;241.89;572.87;59;342087;115;147835;569.12;4669.66
1;0;40;8;0.45;0.1;25651;7;0;123272;654;124;6176;654.27;1197.55;81;188389;47;217066;11764.55;16413.26;81528;432;15;3992;432.92;788.45;54;188389;124;215515;684.85;5977.04
2;0;40;8;0.42;0.12;25655;7;0;123272;652;95;5996;653.99;1216.17;81;189024;54;622282;11811.79;17266.66;81528;431;45;4336;433.15;802.04;53;189024;130;210698;675.58;5945.53
3;0;40;8;0.48;0.08;25642;7;0;123272;654;119;5796;659.75;1199.14;81;188486;60;274685;11783.09;16525.45;81528;432;14;3666;436.73;788.43;54;188486;129;197153;666.28;5791.15
4;0;40;8;0.46;0.1;25645;7;0;123272;657;125;5655;662.85;1206.45;82;187590;59;220474;11732.59;16190.42;81528;434;15;3984;438.54;796.71;54;187590;129;244052;654.74;6323.6
1;0;40;16;0.51;0.13;12826;8;0;123616;1299;91;7555;1313.64;1799.45;81;95116;76;274598;11737.65;17269.21;81184;853;59;4648;863.87;1190.8;53;95116;146;310589;859.19;7817.13
2;0;40;16;0.49;0.15;12830;7;0;123616;1304;188;6656;1297.57;1770.17;81;94766;75;1049997;11645.89;20044.95;81184;856;31;4414;858.59;1190.98;53;94766;153;270023;929.69;8352.32
3;0;40;16;0.52;0.14;12824;8;0;123616;1317;249;7568;1322.46;1846.33;82;93826;59;347067;11539.87;17001.44;81184;865;89;4694;873.09;1226.53;54;93826;149;215673;906.01;7927.39
4;0;40;16;0.54;0.11;12825;8;0;123616;1314;221;8110;1324.22;1841.17;82;94035;73;289664;11535.93;16459.19;81184;863;63;5449;869.56;1212.24;53;94035;147;312231;953.22;9002.02
1;0;40;32;0.62;0.15;6411;7;0;124704;2668;616;9836;2704.63;2912.85;83;46738;91;311981;11203.57;17289.98;80096;1713;182;7089;1736.26;1933.59;53;46738;190;282143;1213.91;10403.22
2;0;40;32;0.59;0.14;6413;7;0;124704;2623;368;9708;2626.78;2888.15;81;47540;95;710882;11410.02;20980.18;80096;1684;117;6400;1686.01;1880.45;52;47540;189;299602;1213.45;11130.46
3;0;40;32;0.59;0.15;6416;8;0;124704;2589;295;10011;2569.36;2718.23;80;48151;95;303466;11512.5;17649.75;80096;1663;177;5888;1650.47;1766.93;51;48151;188;314583;1297.38;11554.77
4;0;40;32;0.58;0.19;6414;7;0;124704;2652;496;10750;2678.12;2836.95;82;47014;106;301904;11336.52;17836.15;80096;1703;63;6059;1717.04;1850.35;53;47014;187;330658;1117.23;9824.26
1;0;40;64;0.9;0.15;3208;7;0;126272;6029;640;15744;6033.66;5327.67;94;20942;162;477761;9401.53;18028.51;78528;3749;372;10112;3746.97;3367.51;58;20942;263;496015;1932.44;20101.8
2;0;40;64;0.78;0.24;3208;7;0;126272;6291;763;16701;6352.51;5836.27;98;20069;178;433016;9209.22;18288.05;78528;3912;254;9600;3926.14;3631.65;61;20069;271;396143;1530.71;15646.49
3;0;40;64;1.0;0.1;3206;7;0;126272;6183;845;16634;6229.9;5428.15;96;20421;196;381303;9438.57;18177.5;78528;3845;110;10118;3864.18;3400.46;60;20421;267;357620;1448.48;12921.36
4;0;40;64;0.92;0.18;3208;7;0;126272;6307;1095;16128;6472.69;5737.86;98;20018;199;338330;9147.12;15978.21;78528;3922;294;10496;4041.97;3735.25;61;20018;268;431042;1588.38;16464.79
1;0;40;128;1.53;0.46;1607;7;0;126848;21025;412;30208;21769.0;8125.26;164;6033;338;569611;5240.61;18887.63;77952;12920;206;18176;13166.91;4914.53;100;6033;401;51087;1361.3;2554.6
2;0;40;128;1.28;0.38;1608;7;0;126848;20243;218;30669;20584.33;8966.64;158;6266;350;586417;5540.65;19624.77;77952;12440;6144;18249;13450.73;3299.11;97;6266;419;42662;1255.59;1783.58
3;0;40;128;1.41;0.41;1605;7;0;126848;18572;2627;31114;19631.0;9737.05;145;6830;340;647871;5727.9;22031.99;77952;11413;1605;18650;11884.67;5568.9;89;6830;430;491731;1877.67;19921.56
4;0;40;128;2.14;0.26;1606;7;0;126848;20592;7922;28755;21993.0;7383.06;160;6160;365;675231;5408.72;22325.29;77952;12654;4979;16770;13109.8;4014.9;98;6160;455;47719;1294.77;1979.97
1;0;40;256;1.78;0.22;804;6;0;126976;35349;29184;51098;35601.71;8454.49;138;3592;630;35196;6454.84;5458.46;77824;21665;16728;30355;21400.0;4466.77;84;3592;781;2577;1265.15;348.09
2;0;40;256;1.38;0.8;803;6;0;126976;36455;29184;50486;37304.17;9048.33;142;3483;631;19711;6233.83;4838.04;77824;22343;17408;30087;22440.0;4551.25;87;3483;792;2563;1268.04;347.54
3;0;40;256;1.78;0.67;802;6;0;126976;35398;29184;50086;35690.14;8144.48;138;3587;637;60200;6437.66;5880.3;77824;21696;16422;29849;21614.71;4501.23;84;3587;776;2587;1276.92;351.82
4;0;40;256;2.08;0.35;802;6;0;126976;36666;27537;55296;37539.17;10392.22;143;3463;629;19675;6195.33;4681.79;77824;22473;17920;32256;22638.33;5256.09;87;3463;776;2504;1264.4;344.61
1;0;40;512;1.53;0.51;404;6;0;126976;53986;42082;69406;55783.75;12231.33;105;2352;1335;53742;8303.5;6566.22;77824;33088;22349;48282;33521.75;11127.17;64;2352;1271;3407;1904.59;391.67
