#rnd_rate;wrt_rate;io_size;ssd_iops;ssd_tot_cpu;hdd_iops;hdd_tot_cpu
0.2;0.0;1.0;0.00220750551876;0.065875;0.00954653937947;0.0138
0.2;0.2;0.001953125;0.000110867817844;0.16695;0.00713012477718;0.00875
0.2;0.2;0.00390625;0.000113433343731;0.159425;0.0062893081761;0.009575
0.2;0.2;0.0078125;0.000141833912488;0.153525;0.00292825768668;0.015125
0.2;0.2;0.015625;0.00018647149317;0.1334;0.00293685756241;0.0163
0.2;0.2;0.03125;0.00024743288383;0.097725;0.00327332242226;0.01575
0.2;0.2;0.0625;0.000378429517502;0.097675;0.00344530577089;0.0175
0.2;0.2;0.125;0.000532694100413;0.064325;0.00297397769517;0.02295
0.2;0.2;0.25;0.000801282051282;0.06095;0.00398009950249;0.0194
0.2;0.2;0.5;0.0014598540146;0.072125;0.00621118012422;0.0199
0.2;0.2;1.0;0.00253807106599;0.059225;0.00968523002421;0.014975
0.2;0.4;0.001953125;0.000104471374843;0.184775;0.00934579439252;0.006375
0.2;0.4;0.00390625;0.000111203780929;0.18325;0.0093023255814;0.00645
0.2;0.4;0.0078125;0.000143204926249;0.1523;0.00849256900212;0.0064
0.2;0.4;0.015625;0.000198826921165;0.111425;0.00875273522976;0.006475
0.2;0.4;0.03125;0.000291205591147;0.102025;0.00997506234414;0.005825
0.2;0.4;0.0625;0.000424718623912;0.0918;0.0103092783505;0.006225
0.2;0.4;0.125;0.000649561545956;0.077;0.0103092783505;0.006925
0.2;0.4;0.25;0.000976800976801;0.055125;0.00715563506261;0.0124
0.2;0.4;0.5;0.00158102766798;0.07305;0.00667779632721;0.0204
0.2;0.4;1.0;0.00275482093664;0.0565;0.010101010101;0.013175
0.2;0.6;0.001953125;8.94914647515e-05;0.202075;0.00597907324365;0.009525
0.2;0.6;0.00390625;9.7761266986e-05;0.20035;0.00597014925373;0.009925
0.2;0.6;0.0078125;0.000134174158057;0.17475;0.00268636668905;0.01875
0.2;0.6;0.015625;0.000189726319784;0.128575;0.00299401197605;0.0174
0.2;0.6;0.03125;0.000291163196972;0.1053;0.00322320709106;0.017525
0.2;0.6;0.0625;0.000416579879192;0.0936;0.00348128807659;0.019625
0.2;0.6;0.125;0.000585394409483;0.08;0.00383509108341;0.0216
0.2;0.6;0.25;0.000957625089777;0.063975;0.00302800908403;0.021025
0.2;0.6;0.5;0.00161877782274;0.074325;0.00518806744488;0.0205
0.2;0.6;1.0;0.00285714285714;0.050925;0.010989010989;0.01475
0.2;0.8;0.001953125;6.77541202974e-05;0.23685;0.00364298724954;0.011925
0.2;0.8;0.00390625;7.37395151627e-05;0.217825;0.00394866732478;0.012725
0.2;0.8;0.0078125;0.000104305197006;0.180325;0.00206825232678;0.02135
0.2;0.8;0.015625;0.000156549645806;0.133325;0.0020725388601;0.022825
0.2;0.8;0.03125;0.000239578342118;0.117425;0.00221116639027;0.022475
0.2;0.8;0.0625;0.000345125107852;0.1074;0.00248756218905;0.02445
0.2;0.8;0.125;0.000556483027268;0.0714;0.00278357689631;0.026875
0.2;0.8;0.25;0.000918062887308;0.0707;0.00353356890459;0.025025
0.2;0.8;0.5;0.00157666535278;0.07485;0.00547945205479;0.021075
0.2;0.8;1.0;0.00277008310249;0.05265;0.0103092783505;0.015125
0.2;1.0;0.001953125;3.3732501265e-05;0.3507;0.000317158261973;0.079375
0.2;1.0;0.00390625;3.77611418969e-05;0.3451;0.000617093489664;0.0542
0.2;1.0;0.0078125;4.72238291442e-05;0.307975;0.000703111267358;0.04725
0.2;1.0;0.015625;6.09273137147e-05;0.2089;0.000582580833091;0.069275
0.2;1.0;0.03125;0.000101965382753;0.19675;0.000962695547533;0.03745
0.2;1.0;0.0625;0.000176991150442;0.142975;0.000808080808081;0.05495
0.2;1.0;0.125;0.000321646831779;0.1088;0.00127754710955;0.030975
0.2;1.0;0.25;0.00059514953132;0.092225;0.00124766063631;0.0354
0.2;1.0;0.5;0.00118133490845;0.093275;0.00308404009252;0.0326
0.2;1.0;1.0;0.00224845418775;0.060325;0.00760456273764;0.01955
0.4;0.0;0.001953125;0.000110350915913;0.1254;0.00215866162979;0.02915
0.4;0.0;0.00390625;0.000116241899393;0.134625;0.00215169445939;0.028075
