#seq;rnd_rate;wrt_rate;io_size;sys_cpu;usr_cpu;cpu_ctx;cpu_minf;cpu_majf;r_io_bytes;r_bw;r_bw_min;r_bw_max;r_bw_mean;r_bw_dev;r_iops;r_runtime;r_min_lat;r_max_lat;r_mean_lat;r_stddev_lat;w_io_bytes;w_bw;w_bw_min;w_bw_max;w_bw_mean;w_bw_dev;w_iops;w_runtime;w_min_lat;w_max_lat;w_mean_lat;w_stddev_lat
2;0;80;256;4.44;1.66;804;6;0;44800;62049;60928;60928;60928.0;0.0;242;722;612;6306;2008.78;1162.24;160000;221606;222720;222720;222720.0;0.0;865;722;547;1163;588.12;34.81
3;0;80;256;4.0;2.29;804;6;0;44800;63908;62976;62976;62976.0;0.0;249;701;605;7171;1923.69;1235.36;160000;228245;231424;231424;231424.0;0.0;891;701;525;1157;577.79;30.98
4;0;80;256;5.7;0.57;804;6;0;44800;63726;62976;62976;62976.0;0.0;248;703;601;9419;1934.03;1285.87;160000;227596;233472;233472;233472.0;0.0;889;703;543;1293;577.21;35.18
1;0;80;512;4.55;1.95;406;6;0;43008;69818;72558;72558;72558.0;0.0;136;616;1152;6451;2911.2;1302.94;161792;262649;256510;256510;256510.0;0.0;512;616;1043;1887;1164.77;46.01
2;0;80;512;6.4;1.92;402;6;0;43008;68702;72704;72704;72704.0;0.0;134;626;1186;6956;2944.19;1367.25;161792;258453;251904;251904;251904.0;0.0;504;626;1104;1699;1187.3;35.22
3;0;80;512;3.97;2.65;402;6;0;43008;71087;72704;72704;72704.0;0.0;138;605;1195;6195;2733.38;1223.31;161792;267424;265216;265216;265216.0;0.0;522;605;1095;1640;1178.89;31.63
4;0;80;512;5.11;3.83;402;6;0;43008;68593;72704;72704;72704.0;0.0;133;627;1193;7090;2946.57;1269.89;161792;258041;252928;252928;252928.0;0.0;503;627;1058;1828;1189.89;41.32
1;0;80;1024;3.55;2.84;203;6;0;49152;87148;88064;88064;88064.0;0.0;85;564;2125;7892;4680.35;1568.74;155648;275971;276480;276480;276480.0;0.0;269;564;2112;2664;2223.01;51.5
2;0;80;1024;2.14;3.57;202;7;0;49152;87459;90112;90112;90112.0;0.0;85;562;2122;10190;4717.4;1652.32;155648;276953;280576;280576;280576.0;0.0;270;562;2085;2837;2193.05;66.06
3;0;80;1024;3.55;1.42;202;6;0;49152;86994;87888;87888;87888.0;0.0;84;565;2133;8759;4793.92;1662.04;155648;275483;275928;275928;275928.0;0.0;269;565;2065;2869;2189.88;64.6
4;0;80;1024;3.55;2.13;203;6;0;49152;86994;88064;88064;88064.0;0.0;84;565;2109;9887;4807.81;1630.93;155648;275483;274432;274432;274432.0;0.0;269;565;2083;2630;2188.91;61.76
1;0;100;2;32.1;6.24;102406;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;57047;50056;63240;57072.57;5222.72;28523;3590;0;730;34.08;4.82
2;0;100;2;31.31;5.24;102406;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;53598;45236;60916;54217.71;5838.76;26799;3821;15;912;36.09;6.22
3;0;100;2;31.25;4.42;102405;7;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;57951;43224;62840;57934.86;6786.66;28975;3534;0;674;33.5;5.14
4;0;100;2;30.67;5.75;102403;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;57706;52148;63068;57640.0;4830.29;28853;3549;0;610;33.66;4.82
1;0;100;4;28.7;6.22;51203;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;102708;86088;108144;100626.66;12593.3;25677;1994;29;723;37.96;5.76
2;0;100;4;29.44;4.67;51204;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;103906;98104;105944;102722.66;4102.54;25976;1971;2;693;37.51;5.09
3;0;100;4;30.7;7.81;51204;7;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;92964;83944;101600;90978.0;7895.78;23241;2203;32;625;41.71;6.21
4;0;100;4;31.55;3.81;51203;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;108359;106360;112248;108690.66;3129.8;27089;1890;21;684;36.12;3.44
1;0;100;8;29.3;6.09;25603;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;148405;146400;149744;148072.0;2364.57;18550;1380;29;836;52.3;5.97
2;0;100;8;17.72;5.58;25604;7;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;167868;150032;179904;164968.0;21122.69;20983;1220;13;914;46.37;7.45
